mass,ctau,acc_lxybin1_ptbin1_isobin1,nevt_lxybin1_ptbin1_isobin1,acc_lxybin1_ptbin1_isobin2,nevt_lxybin1_ptbin1_isobin2,acc_lxybin1_ptbin1_isobin3,nevt_lxybin1_ptbin1_isobin3,acc_lxybin1_ptbin2_isobin1,nevt_lxybin1_ptbin2_isobin1,acc_lxybin1_ptbin2_isobin2,nevt_lxybin1_ptbin2_isobin2,acc_lxybin1_ptbin2_isobin3,nevt_lxybin1_ptbin2_isobin3,acc_lxybin2_ptbin1_isobin1,nevt_lxybin2_ptbin1_isobin1,acc_lxybin2_ptbin1_isobin2,nevt_lxybin2_ptbin1_isobin2,acc_lxybin2_ptbin1_isobin3,nevt_lxybin2_ptbin1_isobin3,acc_lxybin2_ptbin2_isobin1,nevt_lxybin2_ptbin2_isobin1,acc_lxybin2_ptbin2_isobin2,nevt_lxybin2_ptbin2_isobin2,acc_lxybin2_ptbin2_isobin3,nevt_lxybin2_ptbin2_isobin3,acc_lxybin3_ptbin1_isobin1,nevt_lxybin3_ptbin1_isobin1,acc_lxybin3_ptbin1_isobin2,nevt_lxybin3_ptbin1_isobin2,acc_lxybin3_ptbin1_isobin3,nevt_lxybin3_ptbin1_isobin3,acc_lxybin3_ptbin2_isobin1,nevt_lxybin3_ptbin2_isobin1,acc_lxybin3_ptbin2_isobin2,nevt_lxybin3_ptbin2_isobin2,acc_lxybin3_ptbin2_isobin3,nevt_lxybin3_ptbin2_isobin3,acc_lxybin4_ptbin1_isobin1,nevt_lxybin4_ptbin1_isobin1,acc_lxybin4_ptbin1_isobin2,nevt_lxybin4_ptbin1_isobin2,acc_lxybin4_ptbin1_isobin3,nevt_lxybin4_ptbin1_isobin3,acc_lxybin4_ptbin2_isobin1,nevt_lxybin4_ptbin2_isobin1,acc_lxybin4_ptbin2_isobin2,nevt_lxybin4_ptbin2_isobin2,acc_lxybin4_ptbin2_isobin3,nevt_lxybin4_ptbin2_isobin3,acc_lxybin5_ptbin1_isobin1,nevt_lxybin5_ptbin1_isobin1,acc_lxybin5_ptbin1_isobin2,nevt_lxybin5_ptbin1_isobin2,acc_lxybin5_ptbin1_isobin3,nevt_lxybin5_ptbin1_isobin3,acc_lxybin5_ptbin2_isobin1,nevt_lxybin5_ptbin2_isobin1,acc_lxybin5_ptbin2_isobin2,nevt_lxybin5_ptbin2_isobin2,acc_lxybin5_ptbin2_isobin3,nevt_lxybin5_ptbin2_isobin3,acc_lxybin6_ptbin1_isobin1,nevt_lxybin6_ptbin1_isobin1,acc_lxybin6_ptbin1_isobin2,nevt_lxybin6_ptbin1_isobin2,acc_lxybin6_ptbin1_isobin3,nevt_lxybin6_ptbin1_isobin3,acc_lxybin6_ptbin2_isobin1,nevt_lxybin6_ptbin2_isobin1,acc_lxybin6_ptbin2_isobin2,nevt_lxybin6_ptbin2_isobin2,acc_lxybin6_ptbin2_isobin3,nevt_lxybin6_ptbin2_isobin3
0.5,0.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0004966378264612771,105,5.891759052579476e-05,12,9.857832421241068e-05,21,5.7318400603297255e-05,11,1.1601517062285826e-05,2,1.5191557424018123e-05,3,0.0008513176299617796,242,0.00014148082212410483,41,0.00015896501714664278,47,0.00033518257980472247,79,5.133756329556722e-05,12,0.00014581311314601316,33,0.0002508160006773491,92,4.8057904047711784e-05,17,3.2397339148417597e-05,11,0.00020820794013352332,57,3.6934964263059024e-05,10,8.581269049410266e-05,22,0.0005366974744093842,258,4.2961795275509506e-05,20,3.6911622531401055e-05,14,0.0010905572473819973,375,0.00012112587506976046,42,0.00014970484462036777,47,3.7149930366307906e-05,53,3.325991123988377e-06,4,1.8061135704081785e-06,2,0.00022061085790267733,142,1.906800859212338e-05,13,1.4846760842617795e-05,10
0.5,1.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0003067158310380944,105,3.5800509619264245e-05,12,6.366446406192823e-05,21,3.235407098137822e-05,11,6.256343912560271e-06,2,8.504269055167958e-06,3,0.0006938749763451713,242,0.00011755733070310753,41,0.00013476084251331838,47,0.00022651290550110962,79,3.440702362042172e-05,12,9.461931495615971e-05,33,0.00026378718108989983,92,4.8743283462264096e-05,17,3.153977165205324e-05,11,0.00016343336219700315,57,2.8672519683684763e-05,10,6.307954330410648e-05,22,0.0008745118503523853,258,7.168129920921191e-05,20,5.447778739900105e-05,14,0.0011669715511259699,375,0.00012902633857658142,42,0.0001462298503867923,47,0.00015196435432352924,53,1.1469007873473905e-05,4,5.734503936736952e-06,2,0.00040714977950832365,142,3.7274275588790194e-05,13,2.8672519683684763e-05,10
0.5,50.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.652898750195559e-06,1,5.643147478369634e-06,1,5.657421780610115e-06,1,0.0,0,0.0,0,0.0,0,1.704483049677893e-05,3,1.1363146253923199e-05,2,1.7070066756906566e-05,3,1.1390247625010025e-05,2,0.0,0,0.0,0,1.1344969602382321e-05,2,1.1353403503254799e-05,2,0.0,0,1.1387148650441136e-05,2,0.0,0,0.0,0,3.943601246515737e-05,7,0.0,0,5.635425946266292e-06,1,8.513624549609079e-05,13,5.664771449399043e-06,1,1.7029342781706813e-05,3,1.1096614331067078e-05,2,0.0,0,0.0,0,2.8186781135191185e-05,5,0.0,0,0.0,0
0.5,100.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.830633774712271e-06,1,2.830633774712271e-06,1,2.830633774712271e-06,1,0.0,0,0.0,0,0.0,0,8.577678022559293e-06,3,5.718452015039529e-06,2,8.577678022559293e-06,3,5.718452015039529e-06,2,0.0,0,0.0,0,5.718452015039529e-06,2,5.718452015039529e-06,2,0.0,0,5.718452015039529e-06,2,0.0,0,0.0,0,2.001458205263835e-05,7,0.0,0,2.8592260075197645e-06,1,4.2888390112796464e-05,13,2.8592260075197645e-06,1,8.577678022559293e-06,3,5.718452015039529e-06,2,0.0,0,0.0,0,1.4296130037598822e-05,5,0.0,0,0.0,0
2.0,0.5,0.0010226947172792156,213,0.000238849499337686,50,8.124366651453412e-05,17,0.007052474074617318,1376,0.0006749592563280351,132,0.0003177687180733594,62,0.004506792562962664,1313,0.0008425712223890594,252,0.00041506854753763973,124,0.08777669054243799,20072,0.009400915053688853,2127,0.003643838426025596,838,0.000939160118958707,670,0.00013946014174121831,95,3.909173489364619e-05,26,0.07956316321209927,25233,0.006104382889533806,1935,0.002824208157734866,918,4.042841167230997e-05,80,5.250359500993374e-06,11,1.1021272605780166e-06,3,0.014267511022775417,6558,0.000782347221549588,360,0.00042073288663298935,193,1.5330041693577993e-05,48,1.0281925722715335e-06,2,3.52952698185932e-07,0,0.02163178515008854,12060,0.0008183889406611199,442,0.0007144616304066007,358,1.6077409891172834e-08,4,0.0,0,0.0,0,0.0016090037172654624,3163,3.389867245772357e-05,62,4.88139439459098e-05,76
2.0,1.0,0.0005945396097186676,213,0.00014072423988960203,50,4.730008438248492e-05,17,0.0037810849279853254,1376,0.0003645461742388942,132,0.00017070491386000464,62,0.003828942192116123,1313,0.0007449297766457199,252,0.00035514424912309265,124,0.055834711927572625,20072,0.0060719274804846264,2127,0.002338868788836328,838,0.0019170682018472525,670,0.0002718231032469985,95,7.439369141496801e-05,26,0.07219907751822645,25233,0.005536607418767812,1935,0.002626669566113101,918,0.00022890366589220927,80,3.1474254060178776e-05,11,8.583887470957847e-06,3,0.018764378011513854,6558,0.0010300664965149416,360,0.0005522300939649549,193,0.0002489327366577776,48,1.1445183294610463e-05,2,2.861295823652616e-06,0,0.04618703718540052,12060,0.0017625582273700113,442,0.0013991736577661292,358,1.1445183294610463e-05,4,0.0,0,0.0,0,0.009050278690213224,3163,0.00017740034106646218,62,0.0002174584825975988,76
2.0,50.0,2.7479608769418873e-05,5,0.0,0,0.0,0,7.677666019058045e-05,14,5.55342150646454e-06,1,0.0,0,0.00016718270216481854,29,2.2460811130381332e-05,4,1.1242328124581217e-05,2,0.0015880844108210933,286,0.00020045651209417173,35,4.371855925191932e-05,8,0.00015118735198915478,27,1.691441340406146e-05,3,5.58044121897966e-06,1,0.00279620071324198,494,0.00019800837722719537,35,0.00013013564199824024,23,6.644977538797456e-05,12,0.0,0,0.0,0,0.0011664639716244137,207,5.632019365794973e-05,10,3.951832513844639e-05,7,0.0003138722006890769,46,5.141127514147324e-06,1,0.0,0,0.005133855095310538,773,0.0002573880871248396,29,0.0001230814324928772,19,0.0002647423076266595,51,1.0596782335239068e-05,2,1.5678302826892605e-05,3,0.0037276820358865584,678,9.890475922371729e-05,18,0.00010412689900039015,19
2.0,100.0,1.3754017875775474e-05,5,0.0,0,0.0,0,3.8415509454612e-05,14,2.7781577647138582e-06,1,0.0,0,8.41197645192204e-05,29,1.127789539505941e-05,4,5.641797223191452e-06,2,0.000796145423691421,286,0.00010049521607847661,35,2.1914677747216744e-05,8,7.693359775695822e-05,27,8.548177528550913e-06,3,2.849392509516971e-06,1,0.0014075998997013838,494,9.972873783309398e-05,35,6.553602771889034e-05,23,3.419271011420365e-05,12,0.0,0,0.0,0,0.000589824249470013,207,2.8493925095169708e-05,10,1.9945747566618797e-05,7,0.0001652647655519843,46,2.849392509516971e-06,1,0.0,0,0.0026185917162460963,773,0.00013107205543778068,29,6.268663520937336e-05,19,0.0001453190179853655,51,5.698785019033942e-06,2,8.548177528550913e-06,3,0.0019318881214525063,678,5.1289065171305476e-05,18,5.413845768082245e-05,19
5.0,0.5,0.002031453048544824,41,0.0009160351881261469,18,5.508613156917168e-05,1,0.03358453520658048,581,0.0038022982440250037,66,0.0009725668639713818,17,0.0026651005800274615,109,0.0008269351213865876,26,0.00011520330608149201,5,0.12758873087600345,3077,0.012830730717743412,304,0.0033434022635495087,79,4.7313304262765874e-05,14,1.1357616019500885e-05,2,0.0,0,0.038128609775402465,1924,0.001668221091926769,85,0.001110741593654784,49,0.0,0,0.0,0,0.0,0,0.003210775868309942,332,3.387710647733336e-05,3,3.953093561869281e-05,4,0.0,0,0.0,0,0.0,0,0.0019997236480048803,261,3.6444982829012164e-05,5,9.309797627290283e-05,6,0.0,0,0.0,0,0.0,0,9.583584175724391e-05,25,0.0,0,1.982976568750837e-05,2
5.0,1.0,0.0013851724339175758,41,0.0006150701936807374,18,3.5717998202661076e-05,1,0.01931238022871495,581,0.002215970807692506,66,0.0005638316374355351,17,0.003826122512731481,109,0.0009205958799041373,26,0.00017048328232149843,5,0.10327928900904534,3077,0.010416520127138356,304,0.0026124026319833183,79,0.0004850164559154686,14,6.928806513078123e-05,2,0.0,0,0.06665511865581154,1924,0.002944742768058202,85,0.00169755759570414,49,0.0,0,0.0,0,0.0,0,0.011501818811709683,332,0.00010393209769617184,3,0.00013857613026156245,4,0.0,0,0.0,0,0.0,0,0.013996189156417807,261,0.0003117962930885155,5,0.00034644032565390613,6,0.0,0,0.0,0,0.0,0,0.0008661008141347653,25,0.0,0,6.928806513078123e-05,2
