mass,ctau,acc_lxybin1_ptbin1_isobin1,nevt_lxybin1_ptbin1_isobin1,trigsf_unc_lxybin1_ptbin1_isobin1,acc_lxybin1_ptbin1_isobin2,nevt_lxybin1_ptbin1_isobin2,trigsf_unc_lxybin1_ptbin1_isobin2,acc_lxybin1_ptbin1_isobin3,nevt_lxybin1_ptbin1_isobin3,trigsf_unc_lxybin1_ptbin1_isobin3,acc_lxybin1_ptbin2_isobin1,nevt_lxybin1_ptbin2_isobin1,trigsf_unc_lxybin1_ptbin2_isobin1,acc_lxybin1_ptbin2_isobin2,nevt_lxybin1_ptbin2_isobin2,trigsf_unc_lxybin1_ptbin2_isobin2,acc_lxybin1_ptbin2_isobin3,nevt_lxybin1_ptbin2_isobin3,trigsf_unc_lxybin1_ptbin2_isobin3,acc_lxybin2_ptbin1_isobin1,nevt_lxybin2_ptbin1_isobin1,trigsf_unc_lxybin2_ptbin1_isobin1,acc_lxybin2_ptbin1_isobin2,nevt_lxybin2_ptbin1_isobin2,trigsf_unc_lxybin2_ptbin1_isobin2,acc_lxybin2_ptbin1_isobin3,nevt_lxybin2_ptbin1_isobin3,trigsf_unc_lxybin2_ptbin1_isobin3,acc_lxybin2_ptbin2_isobin1,nevt_lxybin2_ptbin2_isobin1,trigsf_unc_lxybin2_ptbin2_isobin1,acc_lxybin2_ptbin2_isobin2,nevt_lxybin2_ptbin2_isobin2,trigsf_unc_lxybin2_ptbin2_isobin2,acc_lxybin2_ptbin2_isobin3,nevt_lxybin2_ptbin2_isobin3,trigsf_unc_lxybin2_ptbin2_isobin3,acc_lxybin3_ptbin1_isobin1,nevt_lxybin3_ptbin1_isobin1,trigsf_unc_lxybin3_ptbin1_isobin1,acc_lxybin3_ptbin1_isobin2,nevt_lxybin3_ptbin1_isobin2,trigsf_unc_lxybin3_ptbin1_isobin2,acc_lxybin3_ptbin1_isobin3,nevt_lxybin3_ptbin1_isobin3,trigsf_unc_lxybin3_ptbin1_isobin3,acc_lxybin3_ptbin2_isobin1,nevt_lxybin3_ptbin2_isobin1,trigsf_unc_lxybin3_ptbin2_isobin1,acc_lxybin3_ptbin2_isobin2,nevt_lxybin3_ptbin2_isobin2,trigsf_unc_lxybin3_ptbin2_isobin2,acc_lxybin3_ptbin2_isobin3,nevt_lxybin3_ptbin2_isobin3,trigsf_unc_lxybin3_ptbin2_isobin3,acc_lxybin4_ptbin1_isobin1,nevt_lxybin4_ptbin1_isobin1,trigsf_unc_lxybin4_ptbin1_isobin1,acc_lxybin4_ptbin1_isobin2,nevt_lxybin4_ptbin1_isobin2,trigsf_unc_lxybin4_ptbin1_isobin2,acc_lxybin4_ptbin1_isobin3,nevt_lxybin4_ptbin1_isobin3,trigsf_unc_lxybin4_ptbin1_isobin3,acc_lxybin4_ptbin2_isobin1,nevt_lxybin4_ptbin2_isobin1,trigsf_unc_lxybin4_ptbin2_isobin1,acc_lxybin4_ptbin2_isobin2,nevt_lxybin4_ptbin2_isobin2,trigsf_unc_lxybin4_ptbin2_isobin2,acc_lxybin4_ptbin2_isobin3,nevt_lxybin4_ptbin2_isobin3,trigsf_unc_lxybin4_ptbin2_isobin3,acc_lxybin5_ptbin1_isobin1,nevt_lxybin5_ptbin1_isobin1,trigsf_unc_lxybin5_ptbin1_isobin1,acc_lxybin5_ptbin1_isobin2,nevt_lxybin5_ptbin1_isobin2,trigsf_unc_lxybin5_ptbin1_isobin2,acc_lxybin5_ptbin1_isobin3,nevt_lxybin5_ptbin1_isobin3,trigsf_unc_lxybin5_ptbin1_isobin3,acc_lxybin5_ptbin2_isobin1,nevt_lxybin5_ptbin2_isobin1,trigsf_unc_lxybin5_ptbin2_isobin1,acc_lxybin5_ptbin2_isobin2,nevt_lxybin5_ptbin2_isobin2,trigsf_unc_lxybin5_ptbin2_isobin2,acc_lxybin5_ptbin2_isobin3,nevt_lxybin5_ptbin2_isobin3,trigsf_unc_lxybin5_ptbin2_isobin3,acc_lxybin6_ptbin1_isobin1,nevt_lxybin6_ptbin1_isobin1,trigsf_unc_lxybin6_ptbin1_isobin1,acc_lxybin6_ptbin1_isobin2,nevt_lxybin6_ptbin1_isobin2,trigsf_unc_lxybin6_ptbin1_isobin2,acc_lxybin6_ptbin1_isobin3,nevt_lxybin6_ptbin1_isobin3,trigsf_unc_lxybin6_ptbin1_isobin3,acc_lxybin6_ptbin2_isobin1,nevt_lxybin6_ptbin2_isobin1,trigsf_unc_lxybin6_ptbin2_isobin1,acc_lxybin6_ptbin2_isobin2,nevt_lxybin6_ptbin2_isobin2,trigsf_unc_lxybin6_ptbin2_isobin2,acc_lxybin6_ptbin2_isobin3,nevt_lxybin6_ptbin2_isobin3,trigsf_unc_lxybin6_ptbin2_isobin3
0.3,0.1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,6.1277444434350465e-06,1,0.199,0.0,0,0.0,2.1120191136982233e-05,2,0.027,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,8.063348049940714e-06,23,0.127,0.0,0,0.127,7.739156401676969e-06,10,0.127,0.0,0,0.127,0.0,0,0.127,0.0,0,0.127,3.5506265558461563e-07,13,0.248,0.0,0,0.248,2.720511730697167e-07,3,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,6.652958648152622e-08,40,0.314,8.699848357610226e-11,7,0.314,2.3621662057237027e-08,3,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,8.848242356731187e-13,2,0.314,0.0,0,0.314,1.0142372324598921e-12,2,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314
0.3,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.1094755689225443e-05,1,0.199,0.0,0,0.0,2.6348544312408544e-05,2,0.027,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,5.395123812178283e-05,23,0.127,0.0,0,0.127,3.377235276062374e-05,10,0.127,0.0,0,0.127,0.0,0,0.127,0.0,0,0.127,1.0276398478845728e-05,13,0.248,0.0,0,0.248,4.109634039278984e-06,3,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,5.600429104113356e-06,40,0.314,1.2348559497165877e-07,7,0.314,2.0360946177831693e-06,3,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,1.2614230784696213e-08,2,0.314,0.0,0,0.314,1.1012799627965406e-08,2,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314
0.3,0.4,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0556289853286259e-05,1,0.199,0.0,0,0.0,2.122050832365631e-05,2,0.027,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.000116004006172798,23,0.127,0.0,0,0.127,5.8517843367692254e-05,10,0.127,0.0,0,0.127,0.0,0,0.127,0.0,0,0.127,4.459859283091948e-05,13,0.248,0.0,0,0.248,1.2537343223866704e-05,3,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,6.31162048406641e-05,40,0.314,5.0558552587826375e-06,7,0.314,1.3635436809349107e-05,3,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,1.1316826641837925e-06,2,0.314,0.0,0,0.314,9.930814176128443e-07,2,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314
0.3,0.6,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,8.720898896506149e-06,1,0.199,0.0,0,0.0,1.663249996777846e-05,2,0.027,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.00013003844451408008,23,0.127,0.0,0,0.127,6.0552708221816166e-05,10,0.127,0.0,0,0.127,0.0,0,0.127,0.0,0,0.127,6.219375858597623e-05,13,0.248,0.0,0,0.248,1.5634701204336216e-05,3,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,0.00013527414618015764,40,0.314,1.6384412966487254e-05,7,0.314,2.1657849671761002e-05,3,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,4.300026730427841e-06,2,0.314,0.0,0,0.314,3.998817045255817e-06,2,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314
0.3,0.8,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,7.281034566664186e-06,1,0.199,0.0,0,0.0,1.3533352505975678e-05,2,0.027,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.00012736018610593695,23,0.127,0.0,0,0.127,5.684683775073991e-05,10,0.127,0.0,0,0.127,0.0,0,0.127,0.0,0,0.127,6.767321814358249e-05,13,0.248,0.0,0,0.248,1.611890391537478e-05,3,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,0.0001873847239889136,40,0.314,2.7752993001963437e-05,7,0.314,2.508805863509622e-05,3,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,7.714877402660459e-06,2,0.314,0.0,0,0.314,7.486426705258246e-06,2,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314
0.3,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,6.211914364421123e-06,1,0.199,0.0,0,0.0,1.1371138456410301e-05,2,0.027,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.00011986076057845435,23,0.127,0.0,0,0.127,5.211337416454537e-05,10,0.127,0.0,0,0.127,0.0,0,0.127,0.0,0,0.127,6.774738641390898e-05,13,0.248,0.0,0,0.248,1.5634012249363612e-05,3,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,0.00021887617149109054,40,0.314,3.647936191518176e-05,7,0.314,2.6056687082272685e-05,3,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,1.0422674832909074e-05,2,0.314,0.0,0,0.314,1.0422674832909074e-05,2,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314
0.3,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.9431405924452313e-05,1,0.127,0.0,0,0.127,2.1371862109727166e-05,1,0.127,0.0,0,0.127,0.0,0,0.127,0.0,0,0.127,1.6448927241878584e-05,1,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,0.00017869474031842196,9,0.314,2.396562697617476e-05,2,0.314,3.15785548632808e-05,2,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,3.00081723279178e-05,3,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314
0.3,4.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.1657610798502593e-05,1,0.127,0.0,0,0.127,1.208123492991587e-05,1,0.127,0.0,0,0.127,0.0,0,0.127,0.0,0,0.127,1.095146102871429e-05,1,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,0.00012621746979732642,9,0.314,1.9429525785265298e-05,2,0.314,2.1567525565701526e-05,2,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,2.7255055123693102e-05,3,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314
0.3,6.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,8.258415263672635e-06,1,0.127,0.0,0,0.127,8.390472097909476e-06,1,0.127,0.0,0,0.127,0.0,0,0.127,0.0,0,0.127,8.03222000916559e-06,1,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,9.462699353699075e-05,9,0.314,1.5228962468581122e-05,2,0.314,1.5954445674903984e-05,2,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,2.2175396516356923e-05,3,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314
0.3,8.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,6.384798274535672e-06,1,0.127,0.0,0,0.127,6.4228952769211265e-06,1,0.127,0.0,0,0.127,0.0,0,0.127,0.0,0,0.127,6.318649868323357e-06,1,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,0.0,0,0.248,7.529476929534427e-05,9,0.314,1.2386356343962292e-05,2,0.314,1.2604751997316868e-05,2,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,1.8374250539053195e-05,3,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314,0.0,0,0.314
