mass,ctau,acc_lxybin1_ptbin1_isobin1,nevt_lxybin1_ptbin1_isobin1,trigsf_unc_lxybin1_ptbin1_isobin1,acc_lxybin1_ptbin1_isobin2,nevt_lxybin1_ptbin1_isobin2,trigsf_unc_lxybin1_ptbin1_isobin2,acc_lxybin1_ptbin1_isobin3,nevt_lxybin1_ptbin1_isobin3,trigsf_unc_lxybin1_ptbin1_isobin3,acc_lxybin1_ptbin2_isobin1,nevt_lxybin1_ptbin2_isobin1,trigsf_unc_lxybin1_ptbin2_isobin1,acc_lxybin1_ptbin2_isobin2,nevt_lxybin1_ptbin2_isobin2,trigsf_unc_lxybin1_ptbin2_isobin2,acc_lxybin1_ptbin2_isobin3,nevt_lxybin1_ptbin2_isobin3,trigsf_unc_lxybin1_ptbin2_isobin3,acc_lxybin2_ptbin1_isobin1,nevt_lxybin2_ptbin1_isobin1,trigsf_unc_lxybin2_ptbin1_isobin1,acc_lxybin2_ptbin1_isobin2,nevt_lxybin2_ptbin1_isobin2,trigsf_unc_lxybin2_ptbin1_isobin2,acc_lxybin2_ptbin1_isobin3,nevt_lxybin2_ptbin1_isobin3,trigsf_unc_lxybin2_ptbin1_isobin3,acc_lxybin2_ptbin2_isobin1,nevt_lxybin2_ptbin2_isobin1,trigsf_unc_lxybin2_ptbin2_isobin1,acc_lxybin2_ptbin2_isobin2,nevt_lxybin2_ptbin2_isobin2,trigsf_unc_lxybin2_ptbin2_isobin2,acc_lxybin2_ptbin2_isobin3,nevt_lxybin2_ptbin2_isobin3,trigsf_unc_lxybin2_ptbin2_isobin3,acc_lxybin3_ptbin1_isobin1,nevt_lxybin3_ptbin1_isobin1,trigsf_unc_lxybin3_ptbin1_isobin1,acc_lxybin3_ptbin1_isobin2,nevt_lxybin3_ptbin1_isobin2,trigsf_unc_lxybin3_ptbin1_isobin2,acc_lxybin3_ptbin1_isobin3,nevt_lxybin3_ptbin1_isobin3,trigsf_unc_lxybin3_ptbin1_isobin3,acc_lxybin3_ptbin2_isobin1,nevt_lxybin3_ptbin2_isobin1,trigsf_unc_lxybin3_ptbin2_isobin1,acc_lxybin3_ptbin2_isobin2,nevt_lxybin3_ptbin2_isobin2,trigsf_unc_lxybin3_ptbin2_isobin2,acc_lxybin3_ptbin2_isobin3,nevt_lxybin3_ptbin2_isobin3,trigsf_unc_lxybin3_ptbin2_isobin3,acc_lxybin4_ptbin1_isobin1,nevt_lxybin4_ptbin1_isobin1,trigsf_unc_lxybin4_ptbin1_isobin1,acc_lxybin4_ptbin1_isobin2,nevt_lxybin4_ptbin1_isobin2,trigsf_unc_lxybin4_ptbin1_isobin2,acc_lxybin4_ptbin1_isobin3,nevt_lxybin4_ptbin1_isobin3,trigsf_unc_lxybin4_ptbin1_isobin3,acc_lxybin4_ptbin2_isobin1,nevt_lxybin4_ptbin2_isobin1,trigsf_unc_lxybin4_ptbin2_isobin1,acc_lxybin4_ptbin2_isobin2,nevt_lxybin4_ptbin2_isobin2,trigsf_unc_lxybin4_ptbin2_isobin2,acc_lxybin4_ptbin2_isobin3,nevt_lxybin4_ptbin2_isobin3,trigsf_unc_lxybin4_ptbin2_isobin3,acc_lxybin5_ptbin1_isobin1,nevt_lxybin5_ptbin1_isobin1,trigsf_unc_lxybin5_ptbin1_isobin1,acc_lxybin5_ptbin1_isobin2,nevt_lxybin5_ptbin1_isobin2,trigsf_unc_lxybin5_ptbin1_isobin2,acc_lxybin5_ptbin1_isobin3,nevt_lxybin5_ptbin1_isobin3,trigsf_unc_lxybin5_ptbin1_isobin3,acc_lxybin5_ptbin2_isobin1,nevt_lxybin5_ptbin2_isobin1,trigsf_unc_lxybin5_ptbin2_isobin1,acc_lxybin5_ptbin2_isobin2,nevt_lxybin5_ptbin2_isobin2,trigsf_unc_lxybin5_ptbin2_isobin2,acc_lxybin5_ptbin2_isobin3,nevt_lxybin5_ptbin2_isobin3,trigsf_unc_lxybin5_ptbin2_isobin3,acc_lxybin6_ptbin1_isobin1,nevt_lxybin6_ptbin1_isobin1,trigsf_unc_lxybin6_ptbin1_isobin1,acc_lxybin6_ptbin1_isobin2,nevt_lxybin6_ptbin1_isobin2,trigsf_unc_lxybin6_ptbin1_isobin2,acc_lxybin6_ptbin1_isobin3,nevt_lxybin6_ptbin1_isobin3,trigsf_unc_lxybin6_ptbin1_isobin3,acc_lxybin6_ptbin2_isobin1,nevt_lxybin6_ptbin2_isobin1,trigsf_unc_lxybin6_ptbin2_isobin1,acc_lxybin6_ptbin2_isobin2,nevt_lxybin6_ptbin2_isobin2,trigsf_unc_lxybin6_ptbin2_isobin2,acc_lxybin6_ptbin2_isobin3,nevt_lxybin6_ptbin2_isobin3,trigsf_unc_lxybin6_ptbin2_isobin3
0.5,0.1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0005730586553967595,105,0.027,7.96864600726359e-05,12,0.027,8.410004737393122e-05,21,0.027,0.00011274052630964751,11,0.027,3.262057483514477e-05,2,0.027,3.1192719170390166e-05,3,0.043,0.00015354645140082195,242,0.127,2.7375886728078383e-05,41,0.127,2.5206400313418013e-05,47,0.127,0.00017550718116073093,79,0.127,3.1487763238708026e-05,12,0.127,0.00010377335036584961,33,0.127,6.656410474647465e-06,92,0.248,1.4976936063879828e-06,17,0.248,1.0305913561115764e-06,11,0.248,3.52699694842264e-05,57,0.248,6.228797543842047e-06,10,0.248,2.2671091870614825e-05,22,0.248,1.335383437534117e-06,258,0.314,9.368965901598216e-08,20,0.314,1.8989139462522825e-07,14,0.314,2.7844462895278436e-05,375,0.314,2.963283242254656e-06,42,0.314,7.239448223667741e-06,47,0.314,1.1230945133119192e-10,53,0.314,1.0772123599138773e-11,4,0.314,3.4160408245268775e-12,2,0.314,1.7062761750939595e-07,142,0.314,7.389731489325749e-09,13,0.314,6.343943151864155e-09,10,0.314
0.5,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0006873772743471064,105,0.027,8.5910593489278e-05,12,0.027,0.00012089752583820287,21,0.027,0.00010021982593695739,11,0.027,2.3230808358442835e-05,2,0.027,2.7125347403215365e-05,3,0.043,0.0005528530502215701,242,0.127,9.208765139448275e-05,41,0.127,9.517006796823306e-05,47,0.127,0.0003485785358117537,79,0.127,5.555072688976004e-05,12,0.127,0.0001706064304886813,33,0.127,7.875823479994698e-05,92,0.248,1.629878736782769e-05,17,0.248,1.1545532282924458e-05,11,0.248,0.0001393842933534558,57,0.248,2.5244438092383724e-05,10,0.248,6.928963886865907e-05,22,0.248,5.8097450931247627e-05,258,0.314,4.371193632070157e-06,20,0.314,5.152482312500846e-06,14,0.314,0.00032260033159407797,375,0.314,3.611806033025171e-05,42,0.314,5.8582783480921534e-05,47,0.314,3.07153988604549e-07,53,0.314,3.362232017511143e-08,4,0.314,1.763403762716861e-08,2,0.314,1.5301198522092386e-05,142,0.314,1.0912698813776002e-06,13,0.314,8.679773511976638e-07,10,0.314
0.5,0.4,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0005601844279377507,105,0.027,6.700338307526131e-05,12,0.027,0.000108837558401166,21,0.027,6.745929504951216e-05,11,0.027,1.3968150923848115e-05,2,0.027,1.794919451501387e-05,3,0.043,0.0008404780223632472,242,0.127,0.0001390354778515571,41,0.127,0.00015424764480439224,47,0.127,0.000361001503919902,79,0.127,5.557077962137586e-05,12,0.127,0.0001602203545478196,33,0.127,0.00021863788231134634,92,0.248,4.25598481953772e-05,17,0.248,2.911851167833328e-05,11,0.248,0.00020816401570458934,57,0.248,3.710730854887411e-05,10,0.248,8.861754631202215e-05,22,0.248,0.00038305089167099666,258,0.314,3.0336824287349405e-05,20,0.314,2.755587575699278e-05,14,0.314,0.0009408858051248532,375,0.314,0.00010474077131812964,42,0.314,0.00013540054558730085,47,0.314,1.7094119211647162e-05,53,0.314,1.615320314344938e-06,4,0.314,8.959118192772295e-07,2,0.314,0.0001468407512755329,142,0.314,1.2335003549941092e-05,13,0.314,9.636391961143815e-06,10,0.314
0.5,0.6,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0004436642193525867,105,0.027,5.2348822200604496e-05,12,0.027,8.935947806993375e-05,21,0.027,4.9729870679897596e-05,11,0.027,9.913790574143273e-06,2,0.027,1.3144879605735754e-05,3,0.043,0.0008327534544761398,242,0.127,0.0001390590391916876,41,0.127,0.000157442879035733,47,0.127,0.0003086697551244527,79,0.127,4.713424380069516e-05,12,0.127,0.00013248609215306368,33,0.127,0.00026686111248788534,92,0.248,5.055413630314092e-05,17,0.248,3.36788063688953e-05,11,0.248,0.00020152685634490338,57,0.248,3.56246676626327e-05,10,0.248,8.127098151637954e-05,22,0.248,0.0006567250652052861,258,0.314,5.296565984550719e-05,20,0.314,4.3770838869926915e-05,14,0.314,0.0011677627561890596,375,0.314,0.00012949891396320487,42,0.314,0.00015540671525078882,47,0.314,6.123428279308873e-05,53,0.314,5.243575690616146e-06,4,0.314,2.7871301670557583e-06,2,0.314,0.0002821522667121928,142,0.314,2.485297453966559e-05,13,0.314,1.929360784708038e-05,10,0.314
0.5,0.8,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.00036340370478353095,105,0.027,4.2590013683526884e-05,12,0.027,7.457357526394944e-05,21,0.027,3.923107047913435e-05,11,0.027,7.673415690452831e-06,2,0.027,1.0333905854664334e-05,3,0.043,0.0007658654104542664,242,0.127,0.0001289440582034302,41,0.127,0.00014720566841509576,47,0.127,0.0002624862287018042,79,0.127,3.9945473759582174e-05,12,0.127,0.00011077261359084181,33,0.127,0.0002729661550497405,92,0.248,5.093006259915172e-05,17,0.248,3.33471131499908e-05,11,0.248,0.00018241146803661025,57,0.248,3.2095847648788214e-05,10,0.248,7.157580818588008e-05,22,0.248,0.0008067466299338182,258,0.314,6.571434098604532e-05,20,0.314,5.1591438722203865e-05,14,0.314,0.0012030692626163336,375,0.314,0.0001331606796483818,42,0.314,0.0001541396235838339,47,0.314,0.00011033507823140171,53,0.314,8.800694178790602e-06,4,0.314,4.515548737949015e-06,2,0.314,0.000365003075348951,142,0.314,3.2929208139022615e-05,13,0.314,2.5433176620653675e-05,10,0.314
0.5,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0003067156760304021,105,0.027,3.5800508593855036e-05,12,0.027,6.366446406192823e-05,21,0.027,3.235407098137822e-05,11,0.027,6.256343912560271e-06,2,0.027,8.504269226069493e-06,3,0.043,0.0006938749763451713,242,0.127,0.00011755733070310753,41,0.127,0.00013476084251331838,47,0.127,0.00022651290550110962,79,0.127,3.440702362042172e-05,12,0.127,9.461931495615971e-05,33,0.127,0.00026378718108989983,92,0.248,4.8743283462264096e-05,17,0.248,3.153977165205324e-05,11,0.248,0.00016343336219700315,57,0.248,2.8672519683684763e-05,10,0.248,6.307954330410648e-05,22,0.248,0.0008745118503523853,258,0.314,7.168129920921191e-05,20,0.314,5.447778739900105e-05,14,0.314,0.0011669715511259699,375,0.314,0.00012902633857658142,42,0.314,0.0001462298503867923,47,0.314,0.00015196435432352924,53,0.314,1.1469007873473905e-05,4,0.314,5.734503936736952e-06,2,0.314,0.00040714977950832365,142,0.314,3.7274275588790194e-05,13,0.314,2.8672519683684763e-05,10,0.314
0.5,2.0,0.0,0,0.0,1.3318528901215881e-05,1,0.04,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.00013415392694579803,10,0.027,1.2679507939986735e-05,1,0.027,5.667772807069183e-05,4,0.027,1.3647606117489171e-05,1,0.027,0.0,0,0.0,0.0,0,0.0,0.0003801268833129141,33,0.127,4.274312872075827e-05,4,0.127,8.008097905642417e-05,7,0.127,7.457381456267998e-05,6,0.127,0.0,0,0.127,5.171768459784917e-05,4,0.127,0.0002915081586092769,29,0.248,1.987482909048567e-05,2,0.248,3.338084167400068e-05,3,0.248,0.00015412337447131034,13,0.248,2.364789919359653e-05,2,0.248,2.448303789593255e-05,2,0.248,0.0006911201779586135,74,0.314,0.00013613637849830353,12,0.314,5.5469994143605565e-05,6,0.314,0.000984555885268215,89,0.314,0.00010045256461785877,10,0.314,0.00018081078254802863,16,0.314,0.00023931416250364373,43,0.314,7.332904581890082e-06,1,0.314,1.4175691557355005e-05,2,0.314,0.0003255189324037651,40,0.314,5.740121474918573e-05,7,0.314,9.68185530983013e-06,1,0.314
0.5,4.0,0.0,0,0.0,6.786750907314306e-06,1,0.04,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,7.097747516633711e-05,10,0.027,6.7789088080775435e-06,1,0.027,3.003351951913806e-05,4,0.027,6.968552194717449e-06,1,0.027,0.0,0,0.0,0.0,0,0.0,0.00021698692744293553,33,0.127,2.5551140513337903e-05,4,0.127,4.590552661631296e-05,7,0.127,4.062139493259737e-05,6,0.127,0.0,0,0.127,2.7485771983422268e-05,4,0.127,0.00018103183647882022,29,0.248,1.245066289448012e-05,2,0.248,1.9485673073384836e-05,3,0.248,8.646612828498484e-05,13,0.248,1.3290337179869855e-05,2,0.248,1.3462206002645024e-05,2,0.248,0.0004891342193491747,74,0.314,9.014564383008932e-05,12,0.314,3.982242736915602e-05,6,0.314,0.0006005959251094867,89,0.314,6.248041312808931e-05,10,0.314,0.00010851153569504264,16,0.314,0.00021326476776405666,43,0.314,5.555240858361243e-06,1,0.314,1.0966801216325228e-05,2,0.314,0.00023076513925017093,40,0.314,4.051039721011754e-05,7,0.314,6.165365832050772e-06,1,0.314
0.5,6.0,0.0,0,0.0,4.553190728246942e-06,1,0.04,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,4.8225167702293695e-05,10,0.027,4.6213016306289214e-06,1,0.027,2.0416393138414688e-05,4,0.027,4.678320680358626e-06,1,0.027,0.0,0,0.0,0.0,0,0.0,0.00015127506944109047,33,0.127,1.8099965436890623e-05,4,0.127,3.20505277006832e-05,7,0.127,2.7866872446088668e-05,6,0.127,0.0,0,0.127,1.8700938009134752e-05,4,0.127,0.0001298863447103851,29,0.248,8.948908963173165e-06,2,0.248,1.3679050311425201e-05,3,0.248,5.990405817722694e-05,13,0.248,9.212392552851034e-06,2,0.248,9.264923605080645e-06,2,0.248,0.00036706971262661324,74,0.314,6.606083345726185e-05,12,0.314,3.006765671551223e-05,6,0.314,0.0004279748406715499,89,0.314,4.481430251829991e-05,10,0.314,7.691091818725242e-05,16,0.314,0.00017362155812663898,43,0.314,4.253671278605417e-06,1,0.314,8.457930738021087e-06,2,0.314,0.00017299503075251306,40,0.314,3.0317430907191854e-05,7,0.314,4.455307244448281e-06,1,0.314
0.5,8.0,0.0,0,0.0,3.4257030394064778e-06,1,0.04,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,3.651479258570385e-05,10,0.027,3.5048823415607315e-06,1,0.027,1.5462611584531755e-05,4,0.027,3.5210369572214813e-06,1,0.027,0.0,0,0.0,0.0,0,0.0,0.00011603502177877259,33,0.127,1.3996280084434076e-05,4,0.127,2.4602482394076943e-05,7,0.127,2.120149767049896e-05,6,0.127,0.0,0,0.127,1.4169371855937307e-05,4,0.127,0.00010108311229147205,29,0.248,6.969013094793951e-06,2,0.248,1.0527761263363364e-05,3,0.248,4.580093220986647e-05,13,0.248,7.045278121685722e-06,2,0.248,7.060283886123333e-06,2,0.248,0.00029223820665582153,74,0.314,5.195578503353509e-05,12,0.314,2.4017167508355037e-05,6,0.314,0.00033187061165339276,89,0.314,3.486503033288831e-05,10,0.314,5.948181932366145e-05,16,0.314,0.00014412441515029162,43,0.314,3.419017609019521e-06,1,0.314,6.823063103385777e-06,2,0.314,0.00013760985089051567,40,0.314,2.409481013702414e-05,7,0.314,3.478916264536928e-06,1,0.314
