mass,ctau,acc_allbins,trigsf_unc,oneminuseff
0.3,0.1,4.376779401033152e-05,0.314,0.718508997429306
0.3,0.2,0.0001473365583295127,0.314,0.718508997429306
0.3,0.4,0.0003473668432485394,0.314,0.718508997429306
0.3,0.6,0.0004753882639845829,0.314,0.718508997429306
0.3,0.8,0.0005442406102372067,0.314,0.718508997429306
0.3,1.0,0.0005751961545177474,0.314,0.718508997429306
0.3,2.0,0.000321499288521656,0.314,0.5804195804195804
0.3,4.0,0.0002291598830291191,0.314,0.5804195804195804
0.3,6.0,0.00017266690308718577,0.314,0.5804195804195804
0.3,8.0,0.00013778647469595015,0.314,0.5804195804195804
0.3,10.0,0.00011443882379846233,0.314,0.5804195804195804
0.3,15.0,3.5764532521136215e-05,0.314,0.6842105263157895
0.3,20.0,2.7463726617616934e-05,0.314,0.6842105263157895
0.3,25.0,2.2284188795192864e-05,0.314,0.6842105263157895
0.3,30.0,1.8746226118816633e-05,0.314,0.6842105263157895
0.3,35.0,1.617686536991256e-05,0.314,0.6842105263157895
0.3,40.0,1.422649585274323e-05,0.314,0.6842105263157895
0.3,45.0,1.269559403507726e-05,0.314,0.6842105263157895
0.3,50.0,1.1462031769467426e-05,0.314,0.6842105263157895
0.3,55.0,1.0446880910874739e-05,0.314,0.6842105263157895
0.3,60.0,9.596867646500051e-06,0.314,0.6842105263157895
0.3,65.0,8.874737309824104e-06,0.314,0.6842105263157895
0.3,70.0,8.253656202443536e-06,0.314,0.6842105263157895
0.3,75.0,7.71380445927297e-06,0.314,0.6842105263157895
0.3,80.0,7.240226580954374e-06,0.314,0.6842105263157895
0.3,85.0,6.8214268655765355e-06,0.314,0.6842105263157895
0.3,90.0,6.4484221739244465e-06,0.314,0.6842105263157895
0.3,95.0,6.1140905756639636e-06,0.314,0.6842105263157895
0.3,100.0,5.812714708741474e-06,0.314,0.6842105263157895
0.4,0.1,0.0006483316985042436,0.314,0.3946846489488298
0.4,0.2,0.0017344770391679708,0.314,0.3946846489488298
0.4,0.4,0.0031842472858992373,0.314,0.3946846489488298
0.4,0.6,0.003783555226041431,0.314,0.3946846489488298
0.4,0.8,0.0039637119885114385,0.314,0.3946846489488298
0.4,1.0,0.003951095882675396,0.314,0.3946846489488298
0.4,2.0,0.0026901577108976874,0.314,0.33508771929824566
0.4,4.0,0.0018313430257044184,0.314,0.33508771929824566
0.4,6.0,0.0013644897680757304,0.314,0.33508771929824566
0.4,8.0,0.0010837912134184762,0.314,0.33508771929824566
0.4,10.0,0.0008979300173148244,0.314,0.33508771929824566
0.4,15.0,0.0006693313727439804,0.314,0.41333333333333333
0.4,20.0,0.0005153358917457533,0.314,0.41333333333333333
0.4,25.0,0.00041885166120963184,0.314,0.41333333333333333
0.4,30.0,0.0003527648295696438,0.314,0.41333333333333333
0.4,35.0,0.00030467609849888454,0.314,0.41333333333333333
0.4,40.0,0.00026811842569500455,0.314,0.41333333333333333
0.4,45.0,0.0002393901892940244,0.314,0.41333333333333333
0.4,50.0,0.0002162203772794998,0.314,0.41333333333333333
0.4,55.0,0.0001971385626253995,0.314,0.41333333333333333
0.4,60.0,0.00018115082139189852,0.314,0.41333333333333333
0.4,65.0,0.0001675612050032226,0.314,0.41333333333333333
0.4,70.0,0.00015586788060478594,0.314,0.41333333333333333
0.4,75.0,0.00014569989003002256,0.314,0.41333333333333333
0.4,80.0,0.00013677708472981166,0.314,0.41333333333333333
0.4,85.0,0.00012888396666881763,0.314,0.41333333333333333
0.4,90.0,0.00012185203996690008,0.314,0.41333333333333333
0.4,95.0,0.00011554766224044451,0.314,0.41333333333333333
0.4,100.0,0.00010986348972990714,0.314,0.41333333333333333
0.5,0.1,0.0018237732148528442,0.127,0.40331615505265517
0.5,0.2,0.00377381568455528,0.127,0.40331615505265517
