neventsmc,acc,staterr,mass,ctau
0,0.0,1.0,0.5,0.1
237,0.004759036144578313,0.06495698024616309,1.0,0.1
1141,0.023144016227180528,0.029604462320866852,1.5,0.1
1536,0.03072,0.025515518153991442,2.0,0.1
1480,0.030204081632653063,0.02599376224550182,3.0,0.1
1298,0.027268907563025212,0.027756369082668444,4.0,0.1
1210,0.024248496993987977,0.02874797872880345,5.0,0.1
1062,0.021585365853658535,0.030685820596610777,6.0,0.1
216,0.023478260869565216,0.06804138174397717,8.0,0.1
1074,0.021653225806451612,0.030513909884867668,15.0,0.1
634,0.012730923694779116,0.03971507353947688,25.0,0.1
381,0.00762,0.051231551957855996,35.0,0.1
150,0.003,0.08164965809277261,50.0,0.1
0,0.0,1.0,0.5,0.2
237,0.00948084329505522,0.06495698024616309,1.0,0.2
1141,0.03824920468591531,0.029604462320866852,1.5,0.2
1536,0.0493423779296875,0.025515518153991442,2.0,0.2
1480,0.0558616868622449,0.02599376224550182,3.0,0.2
1298,0.06179631593848477,0.027756369082668444,4.0,0.2
1210,0.04316734543305361,0.02874797872880345,5.0,0.2
1062,0.03982386147103659,0.030685820596610777,6.0,0.2
216,0.043579692011294156,0.06804138174397717,8.0,0.2
1074,0.04856620542464718,0.030513909884867668,15.0,0.2
634,0.0427577448465738,0.03971507353947688,25.0,0.2
381,0.03026142822265625,0.051231551957855996,35.0,0.2
150,0.0721398046875,0.08164965809277261,50.0,0.2
0,0.0,1.0,0.5,0.5
492,0.01241417894382515,0.045083481733371615,1.0,0.5
2185,0.05197362294823232,0.021393127492027906,1.5,0.5
18587,0.0683760594563747,0.0073349194774209045,2.0,0.5
3577,0.07548656621255165,0.01672016388516151,3.0,0.5
3602,0.068651552734375,0.016662038965156757,4.0,0.5
3449,0.0645506833980461,0.01702759856193218,5.0,0.5
3188,0.06335228871490996,0.017710908674395363,6.0,0.5
22195,0.06731728723967152,0.006712316486202689,8.0,0.5
4348,0.07828415740080394,0.015165447582184487,15.0,0.5
4147,0.06818696594238281,0.015528624284612432,25.0,0.5
4145,0.0595716943359375,0.015532370183662119,35.0,0.5
2707,0.035853408203125,0.01922011014307878,50.0,0.5
0,0.0,1.0,0.5,1.0
492,0.009859719438877755,0.045083481733371615,1.0,1.0
2185,0.04414141414141414,0.021393127492027906,1.5,1.0
18587,0.0628576259722692,0.0073349194774209045,2.0,1.0
3577,0.07390495867768596,0.01672016388516151,3.0,1.0
3602,0.07204,0.016662038965156757,4.0,1.0
3449,0.06911823647294589,0.01702759856193218,5.0,1.0
3188,0.06754237288135594,0.017710908674395363,6.0,1.0
22195,0.07516085336945479,0.006712316486202689,8.0,1.0
4348,0.09020746887966805,0.015165447582184487,15.0,1.0
4147,0.08639583333333334,0.015528624284612432,25.0,1.0
4145,0.0829,0.015532370183662119,35.0,1.0
2707,0.05414,0.01922011014307878,50.0,1.0
0,0.0,1.0,0.5,2.0
492,0.005344113520008767,0.045083481733371615,1.0,2.0
2185,0.026550517380839647,0.021393127492027906,1.5,2.0
18587,0.042370873800515726,0.0073349194774209045,2.0,2.0
3577,0.058443310950413226,0.01672016388516151,3.0,2.0
3602,0.0630519140625,0.016662038965156757,4.0,2.0
3449,0.06311230860157815,0.01702759856193218,5.0,2.0
3188,0.05926278841697564,0.017710908674395363,6.0,2.0
22195,0.0727388527027599,0.006712316486202689,8.0,2.0
4348,0.08796481943724066,0.015165447582184487,15.0,2.0
4147,0.09110734049479166,0.015528624284612432,25.0,2.0
4145,0.093519501953125,0.015532370183662119,35.0,2.0
2707,0.073908564453125,0.01922011014307878,50.0,2.0
0,0.0,1.0,0.5,5.0
24,0.001549904085846565,0.20412414523193154,1.0,5.0
117,0.007255666304607781,0.09245003270420485,1.5,5.0
251,0.014563152034108231,0.06311944030978031,2.0,5.0
483,0.025032729791135203,0.045501575519329006,3.0,5.0
705,0.03173721128147141,0.03766217885773547,4.0,5.0
904,0.03779597088573425,0.033259505261886965,5.0,5.0
1078,0.04137777437039507,0.03045724519365863,6.0,5.0
1635,0.05611750284830729,0.024730968341474896,8.0,5.0
2905,0.07933680647510594,0.018553546269482774,15.0,5.0
3985,0.09087274269979508,0.015841118295695487,25.0,5.0
4715,0.1003743359375,0.014563278388210303,35.0,5.0
4328,0.08485871219252009,0.015200447507762041,50.0,5.0
0,0.0,1.0,0.5,10.0
24,0.00048582995951417006,0.20412414523193154,1.0,10.0
117,0.0023877551020408164,0.09245003270420485,1.5,10.0
251,0.005101626016260162,0.06311944030978031,2.0,10.0
483,0.009857142857142858,0.045501575519329006,3.0,10.0
705,0.014271255060728745,0.03766217885773547,4.0,10.0
904,0.0183739837398374,0.033259505261886965,5.0,10.0
1078,0.021910569105691058,0.03045724519365863,6.0,10.0
1635,0.0340625,0.024730968341474896,8.0,10.0
2905,0.06154661016949153,0.018553546269482774,15.0,10.0
3985,0.08165983606557377,0.015841118295695487,25.0,10.0
4715,0.0943,0.014563278388210303,35.0,10.0
4328,0.08690763052208836,0.015200447507762041,50.0,10.0
0,0.0,1.0,0.5,20.0
24,0.0001370565707866962,0.20412414523193154,1.0,20.0
117,0.0006907748008260922,0.09245003270420485,1.5,20.0
251,0.0015283721055441755,0.06311944030978031,2.0,20.0
483,0.0031732115453603315,0.045501575519329006,3.0,20.0
705,0.0050186299312452555,0.03766217885773547,4.0,20.0
904,0.006845394847838859,0.033259505261886965,5.0,20.0
1078,0.008757090994982215,0.03045724519365863,6.0,20.0
1635,0.015165028889973958,0.024730968341474896,8.0,20.0
2905,0.03633366471630032,0.018553546269482774,15.0,20.0
3985,0.060654506996029714,0.015841118295695487,25.0,20.0
4715,0.0781934716796875,0.014563278388210303,35.0,20.0
4328,0.0841191327811245,0.015200447507762041,50.0,20.0
0,0.0,1.0,0.5,50.0
24,2.3644071841529507e-05,0.20412414523193154,1.0,50.0
117,0.00012105029943038006,0.09245003270420485,1.5,50.0
251,0.0002738283126334834,0.06311944030978031,2.0,50.0
483,0.0005964260879828006,0.045501575519329006,3.0,50.0
705,0.0010041991322629364,0.03766217885773547,4.0,50.0
904,0.00143152593597164,0.033259505261886965,5.0,50.0
1078,0.0019347800278082126,0.03045724519365863,6.0,50.0
1635,0.003630899429321289,0.024730968341474896,8.0,50.0
2905,0.011477878376588983,0.018553546269482774,15.0,50.0
3985,0.025793412005315063,0.015841118295695487,25.0,50.0
4715,0.0401176953125,0.014563278388210303,35.0,50.0
4328,0.06273614967683233,0.015200447507762041,50.0,50.0
0,0.0,1.0,0.5,100.0
0,0.0,1.0,1.0,100.0
0,0.0,1.0,1.5,100.0
2,4.048582995951417e-05,0.7071067811865475,2.0,100.0
4,8.032128514056225e-05,0.5,3.0,100.0
12,0.00024096385542168674,0.2886751345948129,4.0,100.0
15,0.0003061224489795918,0.2581988897471611,5.0,100.0
18,0.00036437246963562755,0.23570226039551587,6.0,100.0
43,0.0008921161825726141,0.15249857033260467,8.0,100.0
197,0.004020408163265306,0.07124704998790965,15.0,100.0
434,0.008714859437751004,0.04800153607373193,25.0,100.0
979,0.01958,0.03196013860502966,35.0,100.0
1623,0.03246,0.02482222683731816,50.0,100.0
0,0.0,1.0,0.5,200.0
0,0.0,1.0,1.0,200.0
0,0.0,1.0,1.5,200.0
2,1.0294028621936134e-05,0.7071067811865475,2.0,200.0
4,2.0647611483991386e-05,0.5,3.0,200.0
12,6.268743530334718e-05,0.2886751345948129,4.0,200.0
15,8.013252822720274e-05,0.2581988897471611,5.0,200.0
18,9.626121173503428e-05,0.23570226039551587,6.0,200.0
43,0.00023827691295829552,0.15249857033260467,8.0,200.0
197,0.0011466487962372449,0.07124704998790965,15.0,200.0
434,0.002725941608229794,0.04800153607373193,25.0,200.0
979,0.006872149047851562,0.03196013860502966,35.0,200.0
1623,0.013713582763671874,0.02482222683731816,50.0,200.0
0,0.0,1.0,0.5,500.0
0,0.0,1.0,1.0,500.0
0,0.0,1.0,1.5,500.0
2,1.6638490292224808e-06,0.7071067811865475,2.0,500.0
4,3.359406947132095e-06,0.5,3.0,500.0
12,1.0274543340905124e-05,0.2886751345948129,4.0,500.0
15,1.3187583611935985e-05,0.2581988897471611,5.0,500.0
18,1.5924208559970623e-05,0.23570226039551587,6.0,500.0
43,3.968602888811673e-05,0.15249857033260467,8.0,500.0
197,0.00019907653575040857,0.07124704998790965,15.0,500.0
434,0.0005029140227291,0.04800153607373193,25.0,500.0
979,0.0013845220947265625,0.03196013860502966,35.0,500.0
1623,0.003191919860839844,0.02482222683731816,50.0,500.0
0,0.0,1.0,0.5,1000.0
0,0.0,1.0,1.0,1000.0
0,0.0,1.0,1.5,1000.0
2,4.1737258886760066e-07,0.7071067811865475,2.0,1000.0
4,8.445574217532055e-07,0.5,3.0,1000.0
12,2.5894340262355574e-06,0.2886751345948129,4.0,1000.0
15,3.328341306472311e-06,0.2581988897471611,5.0,1000.0
18,4.025729983924372e-06,0.23570226039551587,6.0,1000.0
43,1.0055968251960407e-05,0.15249857033260467,8.0,1000.0
197,5.116637872189892e-05,0.07124704998790965,15.0,1000.0
434,0.00013203147903503664,0.04800153607373193,25.0,1000.0
979,0.00037606861114501954,0.03196013860502966,35.0,1000.0
1623,0.0009160235595703125,0.02482222683731816,50.0,1000.0
