mass,ctau = 1,ctau = 10,ctau = 100,what
0.3,1667.818356622266,5629.812452545482,132650.54377722106,xsecBRbrUL
0.3,194.3587815359196,130.52892275581553,156.21670872284045,nevtUL
0.3,360.1303140563459,231.99038419304685,315.3107112435528,nevtULup
0.3,116.59226107526165,81.92675416525367,88.4230166731851,nevtULdown
0.3,590.5538946520528,396.61063264494993,474.71860036039664,nevtULupup
0.3,74.372863132863,55.582936859985615,59.801209277789134,nevtULdowndown
0.3,173.47916102762161,160.70644066806219,157.20487022918033,nevtULobs
0.3,1.2539987643776436e-08,4.23294169364322e-08,9.973725096031657e-07,BRbrUL
0.3,2.3235532002866022e-08,7.523250395715883e-08,2.0131152291506502e-06,BRbrULup
0.3,7.522508124869735e-09,2.6568147978951262e-08,5.645406740868225e-07,BRbrULdown
0.3,3.8102412885070336e-08,1.286174472002394e-07,3.0308619716011506e-06,BRbrULupup
0.3,4.798521462978081e-09,1.8025072598654317e-08,3.8180347455990206e-07,BRbrULdowndown
0.3,1.1192838926791872e-08,5.2115728742619455e-08,1.0036814705941438e-06,BRbrULobs
0.3,-0.299426,0.775179,-0.178375,Significance
0.3,0.0,0.775167,0.0,posSignificance
0.302,1610.1204710913462,5418.59725012156,104058.32446689297,xsecBRbrUL
0.302,204.40823789045285,137.5711205251279,153.98562537268802,nevtUL
0.302,373.03563462963393,241.2037702128644,310.80364017576403,nevtULup
0.302,128.08413189702196,88.99449092183048,90.5415621265502,nevtULdown
0.302,621.0576473734757,417.9770830494253,467.93555380746534,nevtULupup
0.302,93.43123319885508,66.0973025097499,63.7579620747633,nevtULdowndown
0.302,211.05056566984834,148.87558902414088,135.26119524654104,nevtULobs
0.302,1.2106168955574032e-08,4.0741332707680914e-08,7.82393417044308e-07,BRbrUL
0.302,2.209320165313679e-08,7.143187476469225e-08,1.5791780659940484e-06,BRbrULup
0.302,7.585839774737377e-09,2.6355489073266117e-08,4.6003724052339783e-07,BRbrULdown
0.302,3.6782415854903195e-08,1.2378283566856755e-07,2.3775576195106283e-06,BRbrULupup
0.302,5.533506411024183e-09,1.957454575023313e-08,3.2395108108774943e-07,BRbrULdowndown
0.302,1.2499563777551606e-08,4.408912191259374e-08,6.872555050921583e-07,BRbrULobs
0.302,0.618801,0.938264,0.265729,Significance
0.302,0.618833,0.938264,0.265834,posSignificance
