mass,ctau = 1,ctau = 10,ctau = 100,what
0.61,38.104592807417674,148.4680447422106,1720.2676998199154,xsecBRbrUL
0.61,29.56142827269327,24.893471965578062,30.725498088494444,nevtUL
0.61,48.6308470289125,42.553933792221535,53.99437788012535,nevtULup
0.61,18.456746667666007,15.525316957255466,18.932406739554235,nevtULdown
0.61,77.27326716877594,71.28735622057494,93.12840298423187,nevtULupup
0.61,12.712945837479491,10.79158492124793,12.956535338521752,nevtULdowndown
0.61,59.19944055645569,52.004846353621176,66.89802940093885,nevtULobs
0.61,0.0007838725385032034,0.003054225607576328,0.035388663397563,BRbrUL
0.61,0.0012895312485739227,0.005221019971461928,0.06218902810483962,BRbrULup
0.61,0.0004894126470965597,0.001904829534512364,0.02180575128455689,BRbrULdown
0.61,0.0020490346926158864,0.008746376124887795,0.10726236874889576,BRbrULupup
0.61,0.0003371058067138129,0.0013240392926461206,0.014922930348369938,BRbrULdowndown
0.61,0.0015697758348781766,0.006380569720082992,0.0770510485334203,BRbrULobs
0.61,0.0176609,0.335546,0.390329,Significance
0.61,0.0,0.0,0.0,posSignificance
0.615,31.29318854886477,121.42007226862785,1402.5377318241092,xsecBRbrUL
0.615,25.359473978991357,21.233928776322344,26.17727958117569,nevtUL
0.615,43.439098960859006,36.99537346964129,46.62540085851911,nevtULup
0.615,15.439679741152466,12.930254189809293,15.787423364579565,nevtULdown
0.615,70.63853477428822,63.08030548673321,79.3423949022686,nevtULupup
0.615,9.919794237838891,8.717995148002261,10.537230063640036,nevtULdowndown
0.615,49.59897118919445,41.82911335368214,52.022968006502545,nevtULobs
0.615,0.000643751037299705,0.0024978054681094467,0.0288524487782342,BRbrUL
0.615,0.001102702880926624,0.0043518675757386535,0.05139025183512368,BRbrULup
0.615,0.0003919367514159088,0.0015210213785479473,0.017400808306084946,BRbrULdown
0.615,0.0017931614067370329,0.0074203099028226985,0.08745073672614688,BRbrULupup
0.615,0.0002518142858837963,0.0010255217572319273,0.011614075088775485,BRbrULdowndown
0.615,0.0012590714294189813,0.004920473698560315,0.05733941966905937,BRbrULobs
0.615,0.874064,1.03905,1.0639100000000001,Significance
0.615,0.0,0.0,0.0,posSignificance
0.62,28.43040473840079,106.51408251050734,1214.0012169418221,xsecBRbrUL
0.62,23.53532628350437,19.019364064927878,23.194059764695385,nevtUL
0.62,41.18682099613265,33.878793079510096,42.447015065308385,nevtULup
0.62,14.382699395474893,11.31643348441492,13.633581471442895,nevtULdown
0.62,67.99094259679039,57.65740487152837,70.33645766041771,nevtULupup
0.62,9.234346770958313,7.4385279290079405,8.975912559345531,nevtULdowndown
0.62,46.7437730352934,38.10923550359043,46.6709739167651,nevtULobs
0.62,0.000584858986568817,0.0021911653712147192,0.024973950528213384,BRbrUL
0.62,0.00102350322649543,0.003903076778011762,0.045704359869112456,BRbrULup
0.62,0.0003574138251253882,0.001303733242187071,0.014679809944632744,BRbrULdown
0.62,0.0016895926278654714,0.0066425411763145,0.07573401257742758,BRbrULupup
0.62,0.00022947592181345942,0.0008569710719672026,0.00966471581417038,BRbrULdowndown
0.62,0.0011615949316575115,0.00439045369097889,0.050252461428722035,BRbrULobs
0.62,0.558808,0.662723,0.708903,Significance
0.62,0.0,0.0,0.0,posSignificance
0.625,26.554787759131287,96.44514048971209,1089.6863014524067,xsecBRbrUL
0.625,22.93325074821221,17.944547125098538,21.749142103860887,nevtUL
0.625,40.06924851918118,32.08712776616904,39.755225331151536,nevtULup
0.625,13.981610121586625,10.671219938262288,12.785501109968953,nevtULdown
0.625,66.15688691677572,54.366284022816465,65.89753653751332,nevtULupup
0.625,8.951640626625583,6.9978223691530665,8.41203231734475,nevtULdowndown
0.625,49.19139658631393,39.195152062395394,49.11287252257718,nevtULobs
0.625,0.0005462745395382354,0.001984031097879934,0.02241659349592593,BRbrUL
0.625,0.0009544573739143886,0.003547699414530445,0.04097525876338636,BRbrULup
0.625,0.0003330447006850208,0.0011798588207453855,0.01317787063302168,BRbrULdown
0.625,0.0015758700471437568,0.006010984697773393,0.06791984170640604,BRbrULupup
0.625,0.00021322983885321454,0.0007737112060309671,0.008670186071340921,BRbrULdowndown
0.625,0.0011717487335076643,0.004333595049002845,0.050620079334550136,BRbrULobs
0.625,0.0357667,0.0359334,0.0362423,Significance
0.625,0.0,0.0,0.0,posSignificance
