mass,ctau = 1,ctau = 10,ctau = 100,what
1.13,1.6732508622810625,2.986175634322749,24.78075982471686,xsecBRbrUL
1.13,47.0955775029372,19.10028502530102,17.86121264824093,nevtUL
1.13,80.57650428231143,33.74909866454015,31.452812711244984,nevtULup
1.13,29.174251550492073,11.52331245328078,10.78077177772311,nevtULdown
1.13,134.7572571617967,58.09012305215517,54.224079832508316,nevtULupup
1.13,19.72735104842797,7.7032554482205775,7.18718118514874,nevtULdowndown
1.13,44.45600236265458,15.690647367891913,14.55226289468235,nevtULobs
1.13,3.442145170263054e-05,6.143041828903409e-05,0.0005097799419616847,BRbrUL
1.13,5.8892159255238084e-05,0.00010854399529087181,0.0008977001368408949,BRbrULup
1.13,2.132302317862069e-05,3.7061326736359414e-05,0.00030769586138324785,BRbrULdown
1.13,9.849205944410508e-05,0.00018682970190383918,0.0015476187879474256,BRbrULupup
1.13,1.4418425196972085e-05,2.4775243078552593e-05,0.00020513057425549855,BRbrULdowndown
1.13,3.2492225795993434e-05,5.0464327090330485e-05,0.00041533863797276697,BRbrULobs
1.13,-1.14891,-1.70833,-1.6529099999999999,Significance
1.13,0.0,0.0,0.0,posSignificance
1.14,1.875622297982704,3.3514265805772623,27.49574588210595,xsecBRbrUL
1.14,53.60620756831335,21.839412361586096,20.217064038842906,nevtUL
1.14,89.15558732414223,37.66414120090916,34.69930560347184,nevtULup
1.14,33.99762111569347,13.541078945843516,12.594831636406619,nevtULdown
1.14,146.28851907458144,64.36033009651514,58.872671222626906,nevtULupup
1.14,23.417448569315834,9.1989277399317,8.602233711320947,nevtULdowndown
1.14,52.33658686274804,19.42710613607953,17.930394318112022,nevtULobs
1.14,3.858455644503585e-05,6.894421558581264e-05,0.0005656315560587682,BRbrUL
1.14,6.417220966648068e-05,0.00011890084897052519,0.0009708146635407222,BRbrULup
1.14,2.447073185066747e-05,4.27474444206585e-05,0.0003523772889630028,BRbrULdown
1.14,0.00010529522377237415,0.00020317728333904436,0.0016471353391872925,BRbrULupup
1.14,1.6855358868094608e-05,2.9039831601682503e-05,0.0002406726728652209,BRbrULdowndown
1.14,3.76707116871271e-05,6.132887513082598e-05,0.0005016552759300385,BRbrULobs
1.14,-1.4902799999999998,-2.12312,-1.50613,Significance
1.14,0.0,0.00546238,0.00545716,posSignificance
1.15,1.8608165503789842,3.3119396903049916,26.853967419830788,xsecBRbrUL
1.15,53.98471537723183,21.980036676393567,20.134798215672944,nevtUL
1.15,89.92679378488484,37.932760761942994,34.532659439747896,nevtULup
1.15,34.2237320295979,13.561453329399306,12.547236388075605,nevtULdown
1.15,147.34820191822698,65.18669595532518,58.44273232085953,nevtULupup
1.15,23.77045822976256,9.270268821787447,8.58689923903699,nevtULdowndown
1.15,69.30663724822335,27.024635257860943,24.761360305671325,nevtULobs
1.15,3.827997848990005e-05,6.813190697325881e-05,0.0005524291446087137,BRbrUL
1.15,6.376611801500592e-05,0.00011758084690765083,0.0009474566027939883,BRbrULup
1.15,2.4267678671315947e-05,4.2036675837450296e-05,0.000344252720629327,BRbrULdown
1.15,0.00010448301821248581,0.00020206035003991809,0.001603466212016836,BRbrULupup
1.15,1.685537514409392e-05,2.8735215608691865e-05,0.0002355947822595984,BRbrULdowndown
1.15,4.914458776952685e-05,8.376873808187558e-05,0.0006793659884985835,BRbrULobs
1.15,0.472843,0.373221,0.370395,Significance
1.15,0.472841,0.373199,0.370373,posSignificance
1.16,1.8509465815870063,3.2675169912932147,26.261543837155667,xsecBRbrUL
1.16,54.489094495024325,22.0775474374172,20.071539312070573,nevtUL
1.16,90.6698532397205,38.252185665736434,34.332896191699675,nevtULup
1.16,34.582411972842124,13.606705973513924,12.488119384013837,nevtULdown
1.16,148.64624978242642,65.86579484727939,58.10182432441484,nevtULupup
1.16,23.82989732582398,9.304585702476432,8.639816733955193,nevtULdowndown
1.16,65.24160914204248,29.61459535411853,27.089032379824577,nevtULobs
1.16,3.807693741474627e-05,6.721806086506088e-05,0.0005402420421256157,BRbrUL
1.16,6.33600238581378e-05,0.00011646392116650279,0.0009240982299517114,BRbrULup
1.16,2.4166162945892306e-05,4.142744536698616e-05,0.00033612803748793007,BRbrULdown
1.16,0.00010387388526742784,0.00020053726617597474,0.0015638585429952035,BRbrULupup
1.16,1.6652313962715705e-05,2.832906190536554e-05,0.00023254779632850758,BRbrULdowndown
1.16,4.559078639792287e-05,9.016561638696991e-05,0.0007291236583575041,BRbrULobs
1.16,1.10395,1.2241,1.2325700000000002,Significance
1.16,1.10395,1.2241,1.2325700000000002,posSignificance
1.17,1.9052427485981496,3.336618305815736,26.656382860162235,xsecBRbrUL
1.17,56.89430125372023,22.94469183850295,20.75981180797832,nevtUL
1.17,94.47991477625558,39.88167590272332,35.368568265444544,nevtULup
1.17,35.81687876853371,14.153752213987765,12.8787721401347,nevtULdown
1.17,154.46950184947875,68.63042440451622,59.51146051620452,nevtULupup
1.17,24.909681118856774,9.673427772149912,8.919030258242536,nevtULdowndown
1.17,61.90571639005828,27.934144057822376,25.25777103304029,nevtULobs
1.17,3.919389658240161e-05,6.863958564299087e-05,0.0005483645135775095,BRbrUL
1.17,6.508623758891045e-05,0.00011930697208655958,0.0009342506527616828,BRbrULup
