mass,ctau,acc_allbins,trigsf_unc,oneminuseff
0.5,0.1,0.0015435005881394598,0.314,0.4787044121397602
0.5,0.2,0.0032026698727509097,0.314,0.4787044121397602
0.5,0.4,0.0049805489714539975,0.314,0.4787044121397602
0.5,0.6,0.005546917161764173,0.314,0.4787044121397602
0.5,0.8,0.005597789883822086,0.314,0.4787044121397602
0.5,1.0,0.005439444038835315,0.314,0.4787044121397602
0.5,2.0,0.004208709913273547,0.314,0.36155913978494625
0.5,4.0,0.0027022000567423236,0.314,0.36155913978494625
0.5,6.0,0.001968382570872327,0.314,0.36155913978494625
0.5,8.0,0.001544898509416379,0.314,0.36155913978494625
0.5,10.0,0.001270553381165763,0.314,0.36155913978494625
0.5,15.0,0.000958149121159367,0.248,0.45945945945945943
0.5,20.0,0.0007296811871556643,0.248,0.45945945945945943
0.5,25.0,0.0005891522750545822,0.248,0.45945945945945943
0.5,30.0,0.000493997760554509,0.248,0.45945945945945943
0.5,35.0,0.0004253004667141976,0.248,0.45945945945945943
0.5,40.0,0.0003733744796676362,0.248,0.45945945945945943
0.5,45.0,0.00033274698578523505,0.248,0.45945945945945943
0.5,50.0,0.0003000924595055136,0.248,0.45945945945945943
0.5,55.0,0.00027327388723126067,0.248,0.45945945945945943
0.5,60.0,0.0002508552425947163,0.248,0.45945945945945943
0.5,65.0,0.0002318357681348364,0.248,0.45945945945945943
0.5,70.0,0.00021549700347739403,0.248,0.45945945945945943
0.5,75.0,0.00020130949161223434,0.248,0.45945945945945943
0.5,80.0,0.0001888746223340091,0.248,0.45945945945945943
0.5,85.0,0.00017788652835249276,0.248,0.45945945945945943
0.5,90.0,0.0001681066008963478,0.248,0.45945945945945943
0.5,95.0,0.00015934596203294097,0.248,0.45945945945945943
0.5,100.0,0.00015145319965504723,0.248,0.45945945945945943
0.6,0.1,0.00648521720823747,0.027,0.3016791468118901
0.6,0.2,0.011803214644401115,0.027,0.3016791468118901
0.6,0.4,0.01656203560898234,0.027,0.3016791468118901
0.6,0.6,0.017633329070034884,0.027,0.3016791468118901
0.6,0.8,0.0173697694223984,0.027,0.3016791468118901
0.6,1.0,0.016631303030782668,0.027,0.3016791468118901
0.6,2.0,0.012393699256806142,0.248,0.23702031602708806
0.6,4.0,0.00786269566307576,0.248,0.23702031602708806
0.6,6.0,0.005708634041688842,0.248,0.23702031602708806
0.6,8.0,0.004473652548410444,0.248,0.23702031602708806
0.6,10.0,0.003676004213954079,0.248,0.23702031602708806
0.6,15.0,0.002462440412888307,0.127,0.3795918367346939
0.6,20.0,0.0018801762599366739,0.127,0.3795918367346939
0.6,25.0,0.001520530155843151,0.127,0.3795918367346939
0.6,30.0,0.0012763506245242313,0.127,0.3795918367346939
0.6,35.0,0.0010997317857427906,0.127,0.3795918367346939
0.6,40.0,0.0009660454185558464,0.127,0.3795918367346939
0.6,45.0,0.0008613357047846324,0.127,0.3795918367346939
0.6,50.0,0.0007771032420788402,0.127,0.3795918367346939
